CustomerID,OrderCount,TotalRevenue,TotalItems,AvgOrderValue,Segment
12346.0,1,77183.6,74215,77183.6,High-Value
12347.0,7,4310.0,2458,615.7142857142857,High-Value
12348.0,4,1797.24,2341,449.31,High-Value
12349.0,1,1757.55,631,1757.55,High-Value
12350.0,1,334.4,197,334.4,Medium-Value
12352.0,8,2506.04,536,313.255,High-Value
12353.0,1,89.0,20,89.0,Low-Value
12354.0,1,1079.4,530,1079.4,Medium-Value
12355.0,1,459.4,240,459.4,Medium-Value
12356.0,3,2811.43,1591,937.1433333333333,High-Value
12357.0,1,6207.67,2708,6207.67,High-Value
12358.0,2,1168.06,248,584.03,Medium-Value
12359.0,4,6372.58,1622,1593.145,High-Value
12360.0,3,2662.06,1165,887.3533333333334,High-Value
12361.0,1,189.9,91,189.9,Low-Value
12362.0,10,5226.23,2229,522.6229999999999,High-Value
12363.0,2,552.0,408,276.0,Medium-Value
12364.0,4,1313.1,1506,328.275,Medium-Value
12365.0,2,641.38,174,320.69,Medium-Value
12367.0,1,168.9,173,168.9,Low-Value
12370.0,4,3545.69,2353,886.4225,High-Value
12371.0,2,1887.96,591,943.98,High-Value
12372.0,3,1298.04,794,432.68,Medium-Value
12373.0,1,364.6,197,364.6,Medium-Value
12374.0,1,742.9300000000001,342,742.9300000000001,Medium-Value
12375.0,2,457.5,178,228.75,Medium-Value
12377.0,2,1628.12,944,814.06,Medium-Value
12378.0,1,4008.62,2529,4008.62,High-Value
12379.0,2,852.24,407,426.12,Medium-Value
12380.0,4,2724.81,1127,681.2025,High-Value
12381.0,5,1845.31,808,369.062,High-Value
12383.0,5,1850.56,1532,370.11199999999997,High-Value
12384.0,2,585.27,126,292.635,Medium-Value
12386.0,2,401.9,354,200.95,Medium-Value
12388.0,6,2780.66,1462,463.4433333333333,High-Value
12390.0,1,549.84,353,549.84,Medium-Value
12391.0,1,460.89,300,460.89,Medium-Value
12393.0,4,1582.6000000000001,816,395.65000000000003,Medium-Value
12394.0,2,1272.48,819,636.24,Medium-Value
12395.0,12,3018.63,2118,251.5525,High-Value
12397.0,2,2409.9,1263,1204.95,High-Value
12398.0,1,1635.6599999999999,1394,1635.6599999999999,Medium-Value
12399.0,4,1108.65,1178,277.1625,Medium-Value
12401.0,1,84.3,11,84.3,Low-Value
12402.0,1,225.6,94,225.6,Low-Value
12403.0,1,427.7,96,427.7,Medium-Value
12405.0,1,1710.39,857,1710.39,High-Value
12406.0,2,3415.3,1818,1707.65,High-Value
12407.0,5,1708.1200000000001,1416,341.624,High-Value
12408.0,5,2888.55,1409,577.71,High-Value
12409.0,3,11072.67,5551,3690.89,High-Value
12410.0,2,693.3299999999999,211,346.66499999999996,Medium-Value
12412.0,3,1226.88,829,408.96000000000004,Medium-Value
12413.0,3,758.1,286,252.70000000000002,Medium-Value
12414.0,3,562.41,300,187.47,Medium-Value
12415.0,21,124914.53,77374,5948.310952380953,High-Value
12417.0,9,3649.1,1552,405.4555555555555,High-Value
12418.0,1,668.58,407,668.58,Medium-Value
12420.0,1,600.39,345,600.39,Medium-Value
12421.0,4,807.04,484,201.76,Medium-Value
12422.0,3,803.5600000000001,370,267.85333333333335,Medium-Value
12423.0,8,1859.31,1339,232.41375,High-Value
12424.0,2,1760.96,740,880.48,High-Value
12425.0,1,777.2,496,777.2,Medium-Value
12426.0,1,582.73,258,582.73,Medium-Value
12427.0,3,825.8,533,275.26666666666665,Medium-Value
12428.0,9,7956.46,3536,884.0511111111111,High-Value
12429.0,4,3750.4,1557,937.6,High-Value
12430.0,1,256.4,117,256.4,Low-Value
12431.0,15,6487.45,2906,432.49666666666667,High-Value
12432.0,5,5059.32,1801,1011.8639999999999,High-Value
12433.0,7,13375.87,11071,1910.8385714285716,High-Value
12434.0,2,806.14,394,403.07,Medium-Value
12435.0,2,7829.89,2055,3914.945,High-Value
12436.0,1,509.01,211,509.01,Medium-Value
12437.0,18,4951.41,2922,275.0783333333333,High-Value
12438.0,2,2906.85,1180,1453.425,High-Value
12441.0,1,173.55,121,173.55,Low-Value
12442.0,1,172.06,182,172.06,Low-Value
12444.0,5,5005.46,1153,1001.092,High-Value
12445.0,1,133.4,62,133.4,Low-Value
12446.0,1,1002.3100000000001,351,1002.3100000000001,Medium-Value
12447.0,1,476.49,190,476.49,Medium-Value
12448.0,1,449.45,243,449.45,Medium-Value
12449.0,4,4067.29,1553,1016.8225,High-Value
12450.0,2,197.88,128,98.94,Low-Value
12451.0,5,9035.52,6575,1807.104,High-Value
12452.0,2,430.57,185,215.285,Medium-Value
12453.0,1,707.09,473,707.09,Medium-Value
12454.0,1,3528.34,1006,3528.34,High-Value
12455.0,6,2466.86,2089,411.1433333333334,High-Value
12456.0,3,3181.04,1633,1060.3466666666666,High-Value
12457.0,7,2363.23,843,337.6042857142857,High-Value
12458.0,2,947.4,506,473.7,Medium-Value
12461.0,2,826.88,287,413.44,Medium-Value
12462.0,2,1189.59,536,594.795,Medium-Value
12463.0,4,1344.78,776,336.195,Medium-Value
12464.0,8,1212.05,112,151.50625,Medium-Value
12465.0,2,742.1899999999999,479,371.09499999999997,Medium-Value
12468.0,2,729.5400000000001,366,364.77000000000004,Medium-Value
12471.0,30,19824.05,8212,660.8016666666666,High-Value
12472.0,7,6572.11,4148,938.8728571428571,High-Value
12473.0,5,3938.5499999999997,2439,787.7099999999999,High-Value
12474.0,18,7375.79,4847,409.7661111111111,High-Value
12475.0,1,723.38,535,723.38,Medium-Value
12476.0,11,6816.42,2408,619.6745454545454,High-Value
12477.0,6,13219.74,3653,2203.29,High-Value
12478.0,1,680.99,236,680.99,Medium-Value
12479.0,1,527.2,385,527.2,Medium-Value
12480.0,4,3281.63,1707,820.4075,High-Value
12481.0,10,5596.32,3304,559.632,High-Value
12483.0,8,2484.98,1110,310.6225,High-Value
12484.0,6,4541.72,2191,756.9533333333334,High-Value
12488.0,3,1298.66,529,432.8866666666667,Medium-Value
12489.0,1,334.93,105,334.93,Medium-Value
12490.0,10,5417.93,3064,541.793,High-Value
12491.0,1,460.40000000000003,260,460.40000000000003,Medium-Value
12492.0,2,263.21000000000004,192,131.60500000000002,Low-Value
12493.0,2,433.74,207,216.87,Medium-Value
12494.0,7,1246.1000000000001,707,178.01428571428573,Medium-Value
12497.0,1,1043.1,1236,1043.1,Medium-Value
12498.0,3,403.70000000000005,159,134.5666666666667,Medium-Value
12500.0,11,4257.82,2678,387.07454545454544,High-Value
12501.0,1,2169.39,1783,2169.39,High-Value
12502.0,5,3723.87,820,744.774,High-Value
12504.0,2,482.04999999999995,90,241.02499999999998,Medium-Value
12506.0,1,73.5,23,73.5,Low-Value
12507.0,3,1304.81,894,434.93666666666667,Medium-Value
12508.0,2,398.27,272,199.135,Medium-Value
12509.0,1,176.5,55,176.5,Low-Value
12510.0,2,982.5699999999999,353,491.28499999999997,Medium-Value
12512.0,2,138.03,99,69.015,Low-Value
12513.0,1,612.29,462,612.29,Medium-Value
12514.0,1,1017.68,440,1017.68,Medium-Value
12515.0,1,383.7,131,383.7,Medium-Value
12516.0,2,1312.06,875,656.03,Medium-Value
12517.0,5,2502.84,1371,500.56800000000004,High-Value
12518.0,5,2056.89,1318,411.378,High-Value
12519.0,1,340.84,183,340.84,Medium-Value
12520.0,5,2634.26,1439,526.8520000000001,High-Value
12521.0,1,599.68,309,599.68,Medium-Value
12522.0,2,192.72,194,96.36,Low-Value
12523.0,11,1789.77,865,162.70636363636365,High-Value
12524.0,8,4485.72,3699,560.715,High-Value
12526.0,3,1316.66,632,438.8866666666667,Medium-Value
12527.0,3,348.71000000000004,234,116.23666666666668,Medium-Value
12528.0,6,1933.48,756,322.24666666666667,High-Value
12530.0,4,1662.28,913,415.57,High-Value
12531.0,1,125.22,45,125.22,Low-Value
12532.0,1,349.83000000000004,153,349.83000000000004,Medium-Value
12534.0,1,1089.18,651,1089.18,Medium-Value
12535.0,2,716.35,219,358.175,Medium-Value
12536.0,3,12601.830000000002,2803,4200.610000000001,High-Value
12538.0,1,363.95,191,363.95,Medium-Value
12539.0,4,5568.35,2067,1392.0875,High-Value
12540.0,17,13400.24,6685,788.2494117647059,High-Value
12541.0,3,981.18,680,327.06,Medium-Value
12544.0,1,372.7,136,372.7,Medium-Value
12545.0,2,1000.39,523,500.195,Medium-Value
12546.0,2,1161.5,633,580.75,Medium-Value
12547.0,2,207.79999999999998,134,103.89999999999999,Low-Value
12548.0,1,95.19999999999999,49,95.19999999999999,Low-Value
12550.0,1,964.83,569,964.83,Medium-Value
12551.0,1,168.0,100,168.0,Low-Value
12552.0,2,437.82,88,218.91,Medium-Value
12553.0,10,3692.28,1965,369.228,High-Value
12556.0,2,603.71,358,301.855,Medium-Value
12557.0,5,11990.960000000001,4384,2398.192,High-Value
12558.0,1,269.96,196,269.96,Low-Value
12559.0,2,561.71,283,280.855,Medium-Value
12560.0,3,2134.01,1110,711.3366666666667,High-Value
12561.0,1,238.85,177,238.85,Low-Value
12562.0,7,3781.7400000000002,1779,540.2485714285715,High-Value
12564.0,1,456.9,133,456.9,Medium-Value
12565.0,1,145.92,80,145.92,Low-Value
12566.0,1,351.65,265,351.65,Medium-Value
12567.0,10,9401.28,4305,940.128,High-Value
12569.0,32,4124.69,1801,128.8965625,High-Value
12571.0,2,519.61,523,259.805,Medium-Value
12572.0,2,1020.42,452,510.21,Medium-Value
12573.0,1,160.54000000000002,84,160.54000000000002,Low-Value
12574.0,1,218.45,61,218.45,Low-Value
12576.0,5,1315.83,967,263.166,Medium-Value
12577.0,3,657.8,472,219.26666666666665,Medium-Value
12578.0,2,2794.51,1196,1397.255,High-Value
12579.0,1,440.42,285,440.42,Medium-Value
12580.0,1,415.7,238,415.7,Medium-Value
12581.0,1,197.71,161,197.71,Low-Value
12582.0,2,511.36,300,255.68,Medium-Value
12583.0,15,7281.38,5060,485.42533333333336,High-Value
12584.0,9,2338.15,416,259.7944444444445,High-Value
12585.0,2,2040.1,1279,1020.05,High-Value
12586.0,1,196.94000000000003,79,196.94000000000003,Low-Value
12587.0,1,144.0,51,144.0,Low-Value
12588.0,1,214.89999999999998,53,214.89999999999998,Low-Value
