StockCode,Description,TotalQuantity,TotalRevenue,OrderCount
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
22423,REGENCY CAKESTAND 3 TIER,12402,142592.94999999998,1703
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36782,100603.5,1978
85099B,JUMBO BAG RED RETROSPOT,46181,85220.78,1600
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195
POST,POSTAGE,3120,77803.96,1099
47566,PARTY BUNTING,15291,68844.33,1379
84879,ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375
M,Manual,7173,53779.93,253
23084,RABBIT NIGHT LIGHT,27202,51346.2,801
22502,PICNIC BASKET WICKER SMALL,1488,47366.2,234
79321,CHILLI LIGHTS,9650,46286.51,519
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15617,42660.83,980
21137,BLACK RECORD COVER FRAME,11406,39064.55,313
23203,JUMBO BAG DOILEY PATTERNS,19516,37684.38,1080
22386,JUMBO BAG PINK POLKADOT,20165,37289.590000000004,871
22197,SMALL POPCORN HOLDER,49183,37226.43,1035
23298,SPOTTY BUNTING,7785,36173.950000000004,1009
23284,DOORMAT KEEP CALM AND COME IN,5342,35913.85,648
82484,WOOD BLACK BOARD ANT WHITE FINISH,5921,34478.01,604
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7020,33347.8,1146
22960,JAM MAKING SET WITH JARS,8151,32662.97,878
85099F,JUMBO BAG STRAWBERRY,16807,30644.2,654
22178,VICTORIAN GLASS HANGING T-LIGHT,22433,28776.51,815
22470,HEART OF WICKER LARGE,9591,28520.95,801
20725,LUNCH BAG RED RETROSPOT,17897,28338.45,1289
22469,HEART OF WICKER SMALL,16775,28228.64,961
23245,SET OF 3 REGENCY CAKE TINS,5856,26625.68,718
23199,JUMBO BAG APPLES,13887,26451.260000000002,718
21175,GIN + TONIC DIET METAL SIGN,11993,26107.44,692
22727,ALARM CLOCK BAKELIKE RED ,7221,25925.2,877
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9433,25669.27,697
20685,DOORMAT RED RETROSPOT,3901,25397.85,576
22699,ROSES REGENCY TEACUP AND SAUCER ,9132,24865.600000000002,783
22629,SPACEBOY LUNCH BOX ,13919,24694.59,704
23355,HOT WATER BOTTLE KEEP CALM,5338,24426.300000000003,719
22457,NATURAL SLATE HEART CHALKBOARD ,8480,24245.52,967
23201,JUMBO BAG ALPHABET,12540,24175.0,752
21181,PLEASE ONE PERSON METAL SIGN,11963,23930.920000000002,694
21915,RED  HARMONICA IN BOX ,20975,23793.93,561
48138,DOORMAT UNION FLAG,3625,23697.99,516
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12793,23675.04,649
22112,CHOCOLATE HOT WATER BOTTLE,5160,23624.24,700
23173,REGENCY TEAPOT ROSES ,2666,23073.32,354
22138,BAKING SET 9 PIECE RETROSPOT ,4797,23007.55,854
48187,DOORMAT NEW ENGLAND,3721,22968.25,531
22189,CREAM HEART CARD HOLDER,8195,22715.57,452
21623,VINTAGE UNION JACK MEMOBOARD,3255,22709.13,205
21733,RED HANGING HEART T-LIGHT HOLDER,7759,22624.690000000002,679
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8100,22175.52,595
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4663,22133.83,385
21931,JUMBO STORAGE BAG SUKI,11516,21790.95,774
48185,DOORMAT FAIRY CAKE,3429,21187.69,241
22961,JAM MAKING SET PRINTED,15055,21170.75,868
23202,JUMBO BAG VINTAGE LEAF,10716,20963.93,772
21621,VINTAGE UNION JACK BUNTING,2540,20962.16,391
22726,ALARM CLOCK BAKELIKE GREEN,5641,20880.4,789
22666,RECIPE BOX PANTRY YELLOW DESIGN,7373,20859.27,828
23209,LUNCH BAG DOILEY PATTERN ,13004,20817.56,1006
15056N,EDWARDIAN PARASOL NATURAL,3826,20696.71,378
85066,CREAM SWEETHEART MINI CHEST,1705,20562.92,445
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5372,20530.0,653
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4248,20470.780000000002,823
21166,COOK WITH WINE METAL SIGN ,10209,20315.33,602
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10518,20174.23,790
22630,DOLLY GIRL LUNCH BOX,11336,20129.44,616
22111,SCOTTIE DOG HOT WATER BOTTLE,4259,20104.350000000002,656
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,6652,20049.12,263
82482,WOODEN PICTURE FRAME WHITE FINISH,8276,20001.65,876
48194,DOORMAT HEARTS,3271,19948.81,480
21731,RED TOADSTOOL LED NIGHT LIGHT,12871,19844.91,522
22659,LUNCH BOX I LOVE LONDON,11094,19353.219999999998,504
84946,ANTIQUE SILVER TEA GLASS ETCHED,16473,19239.420000000002,677
21523,DOORMAT FANCY FONT HOME SWEET HOME,3088,19157.02,397
20713,JUMBO BAG OWLS,10466,19076.92,411
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,4922,18807.0,424
22090,PAPER BUNTING RETROSPOT,6879,18791.890000000003,567
22383,LUNCH BAG SUKI  DESIGN ,11722,18723.7,1043
22728,ALARM CLOCK BAKELIKE PINK,5074,18569.09,613
21929,JUMBO BAG PINK VINTAGE PAISLEY,9889,18429.98,602
23206,LUNCH BAG APPLE DESIGN,11565,18278.25,866
21928,JUMBO BAG SCANDINAVIAN PAISLEY,9704,18063.62,542
20727,LUNCH BAG  BLACK SKULL.,11291,18024.55,1052
21843,RED RETROSPOT CAKE STAND,1809,17929.75,421
22697,GREEN REGENCY TEACUP AND SAUCER,6430,17806.34,691
23344,JUMBO BAG 50'S CHRISTMAS ,8954,17679.72,586
82494L,WOODEN FRAME ANTIQUE WHITE ,6282,17625.07,811
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6481,17604.99,458
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7907,17592.52,305
82486,WOOD S/3 CABINET ANT WHITE FINISH,2085,17590.63,559
22467,GUMBALL COAT RACK,7688,17580.350000000002,570
22969,HOMEMADE JAM SCENTED CANDLES,12092,17521.6,518
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10082,17304.57,192
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6170,17303.98,764
20728,LUNCH BAG CARS BLUE,10820,17265.68,966
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15940,17226.2,239
23240,SET OF 4 KNICK KNACK TINS DOILEY ,4103,16432.25,485
21212,PACK OF 72 RETROSPOT CAKE CASES,33693,16394.53,1029
22384,LUNCH BAG PINK POLKADOT,10254,16349.5,931
22865,HAND WARMER OWL DESIGN,8115,16237.630000000001,572
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,324
22492,MINI PAINT SET VINTAGE ,26076,16039.240000000002,325
22382,LUNCH BAG SPACEBOY DESIGN ,9912,15881.199999999999,988
21485,RETROSPOT HEART HOT WATER BOTTLE,3335,15871.73,533
21754,HOME BUILDING BLOCK WORD,2654,15630.960000000001,691
85152,HAND OVER THE CHOCOLATE   SIGN ,8164,15539.11,590
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,492
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3736,15415.22,514
22385,JUMBO BAG SPACEBOY DESIGN,8236,15331.02,477
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,291
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,4035,15158.81,326
22077,6 RIBBONS RUSTIC CHARM,8605,14988.589999999998,726
22624,IVORY KITCHEN SCALES,1783,14788.33,620
22698,PINK REGENCY TEACUP AND SAUCER,5343,14769.49,556
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2341,14689.87,509
20726,LUNCH BAG WOODLAND,9115,14537.11,820
22993,SET OF 4 PANTRY JELLY MOULDS,11792,14180.17,866
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,3694,14044.74,308
22835,HOT WATER BOTTLE I AM SO POORLY,2972,13847.28,505
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54415,13586.249999999998,472
48184,DOORMAT ENGLISH ROSE ,1975,13470.95,356
22084,PAPER CHAIN KIT EMPIRE,4893,13435.150000000001,374
84029E,RED WOOLLY HOTTIE WHITE HEART.,3707,13430.51,321
22847,BREAD BIN DINER STYLE IVORY,851,13191.689999999999,342
23356,LOVE HOT WATER BOTTLE,2352,13115.400000000001,449
22900, SET 2 TEA TOWELS I LOVE LONDON ,4580,13068.2,368
23200,JUMBO BAG PEARS,6733,13043.24,470
22622,BOX OF VINTAGE ALPHABET BLOCKS,1295,13035.66,231
84078A,SET/4 WHITE RETRO STORAGE CUBES ,357,13007.150000000001,106
23313,VINTAGE CHRISTMAS BUNTING,2755,12994.77,359
23108,SET OF 10 LED DOLLY LIGHTS,2194,12985.23,351
82583,HOT BATHS METAL SIGN,6415,12832.140000000001,385
84978,HANGING HEART JAR T-LIGHT HOLDER,10980,12674.720000000001,572
22752,SET 7 BABUSHKA NESTING BOXES,1654,12665.29,297
22558,CLOTHES PEGS RETROSPOT PACK 24 ,8418,12545.38,639
23301,GARDENERS KNEELING PAD KEEP CALM ,7740,12493.48,756
22507,MEMO BOARD RETROSPOT  DESIGN,2786,12411.02,348
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1723,12294.380000000001,304
22188,BLACK HEART CARD HOLDER,4844,12261.9,166
22866,HAND WARMER SCOTTY DOG DESIGN,6118,12248.760000000002,471
20750,RED RETROSPOT MINI CASES,1712,12216.8,365
21232,STRAWBERRY CERAMIC TRINKET BOX,10366,12210.06,582
22113,GREY HEART HOT WATER BOTTLE,3156,12191.15,511
22551,PLASTERS IN TIN SPACEBOY,7664,12151.8,579
22941,CHRISTMAS LIGHTS 10 REINDEER,1572,12150.0,253
20749,ASSORTED COLOUR MINI CASES,1719,12123.41,365
82600,NO SINGING METAL SIGN,5833,12097.380000000001,419
21524,DOORMAT SPOTTY HOME SWEET HOME,1662,12095.67,405
22867,HAND WARMER BIRD DESIGN,6001,12081.430000000002,474
22083,PAPER CHAIN KIT RETROSPOT,4307,12043.210000000001,444
23207,LUNCH BAG ALPHABET DESIGN,7554,12029.06,647
22379,RECYCLING BAG RETROSPOT ,6088,11942.43,407
DOT,DOTCOM POSTAGE,16,11906.36,16
22625,RED KITCHEN SCALES,1476,11895.73,448
22568,FELTCRAFT CUSHION OWL,3284,11783.05,417
22273,FELTCRAFT DOLL MOLLY,4469,11762.99,293
47590B,PINK HAPPY BIRTHDAY BUNTING,2287,11688.150000000001,359
23077,DOUGHNUT LIP GLOSS ,9662,11640.7,308
22554,PLASTERS IN TIN WOODLAND ANIMALS,7307,11637.429999999998,587
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24264,11629.7,669
20971,PINK BLUE FELT CRAFT TRINKET BOX,10225,11629.39,457
22607,WOODEN ROUNDERS GARDEN SET ,1269,11601.14,303
22191,IVORY DINER WALL CLOCK,1426,11587.2,391
23174,REGENCY SUGAR BOWL GREEN,2956,11575.54,268
22149,FELTCRAFT 6 FLOWER FRIENDS,5890,11566.390000000001,461
48188,DOORMAT WELCOME PUPPIES,2028,11544.2,252
21755,LOVE BUILDING BLOCK WORD,1946,11535.560000000001,555
22427,ENAMEL FLOWER JUG CREAM,1995,11444.93,441
22193,RED DINER WALL CLOCK,1352,11074.390000000001,416
21930,JUMBO STORAGE BAG SKULLS,5706,10890.79,471
22501,PICNIC BASKET WICKER LARGE,1194,10818.9,257
22570,FELTCRAFT CUSHION RABBIT,3018,10694.81,324
22413,METAL SIGN TAKE IT OR LEAVE IT ,3690,10647.300000000001,351
22776,SWEETHEART CAKESTAND 3 TIER,1116,10570.6,449
21790,VINTAGE SNAP CARDS,13336,10447.42,722
47566B,TEA TIME PARTY BUNTING,2291,10445.25,313
21936,RED RETROSPOT PICNIC BAG,3758,10371.66,385
